name,spouse,parents,siblings,relatives,ancestors,Born,died,abilities,Bonded_with,titles,aliases,profession,groups,skills,species,residence,birthplace,religion,ethnicity,nationality,world,universe,featured_in
Philen Frandeu , Aliases<->Lin, Profession<->Merchant, Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Quellion , Siblings<->Beldre, Abilities<->Hemalurgist (formerly), Aliases<->The Citizen, Birthplace<->Urteau, Residence<->Urteau, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Redd , Died<->Before 1022 FE, Abilities<->Smoker, Groups<->Kelsier's crew, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Reen , Parents<->Mother, Siblings<->Vin/ sister, Died<->[1], Groups<->Camon's crew, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Sev , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Shum , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Spook , Parents<->Jedal/ Margel, Relatives<->Clubs, Born<->1007[1], Abilities<->Tineye/ Mistborn/ Hemalurgist, Titles<->Survivor of the Flames/ Lord Mistborn, Aliases<->Jedal/ Lestibournes, Groups<->Kelsier's crew/ Venture army, Birthplace<->Eastern Dominance, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,
Tase , Profession<->Apprentice craftsman, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Tawnson , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Tepper , Residence<->Tresting plantation (Central Dominance), Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Theron , Died<->1022 FE, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Thurts , Siblings<->Jasten, Groups<->Luthadel Assembly, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Trap , Died<->c 1022 FE, Abilities<->Smoker, Groups<->Kelsier's crew, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Troalin , Siblings<->Aledin, Relatives<->Slowswift, Residence<->Fadrex City, Ethnicity<->Skaa/ Noble, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Ulef , Died<->c.1021 FE, Groups<->Camon's crew, Birthplace<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Vent (Scadrial) , Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Human , Groups<->Venture army, Species<->Koloss, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Vin , Spouse<->Elend Venture[1], Parents<->Tevidian Tekiel/ mother, Siblings<->Reen/ sister, Relatives<->Salmen Tekiel/ Kale Tekiel, Born<->1005 FE[2], Died<->1025 FE[3], Abilities<->Mistborn/ Sliver/ Shard of Preservation, Titles<->Heir to the Survivor/ Empress of the New Empire/ Ascendant Warrior/ Lady Mistborn/ Mother/ Preservation, Aliases<->Valette Renoux, Groups<->Camon's crew (former)/ Kelsier's crew/ Venture army, Birthplace<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,
Vin's mother , Children<->Vin/ sister/ Reen, Died<->c 1010 FE, Abilities<->Hemalurgist, Residence<->Luthadel, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Walin , Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Wellen , Profession<->Soldier, Groups<->Ashweather Cett's army (former)/ Venture army, Ethnicity<->Skaa[1], World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Yeden , Died<->1022 FE, Groups<->Kelsier's crew/ Skaa rebellion, Ethnicity<->Skaa, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Terrisman , Capital<->Tathingdwen, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn (series),,,,,,,,,,,,,,,,,,,
Keeper , Leaders<->The Synod, Headquarters<->Tathingdwen, Era<->Final Empire, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Synod , Type<->Council, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn (series),,,,,,,,,,,,,,,,,,,
Terris Prophecies , Related to<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Aslydin , Spouse<->Demoux[1], Abilities<->Worldhopper, Groups<->Seventeenth Shard[2], Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Axindweth , Abilities<->Worldhopper/ Feruchemist, Ethnicity<->Terris, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Derytatith , Type<->Mountain, Region<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Fed , Abilities<->Skimmer, Groups<->Set, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,
Forch , Died<->314/ killed by Wax[1], Abilities<->Coinshot & Brute twinborn, Residence<->The Village, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,
Gereh , Died<->1175/ killed by Mraize[1], Abilities<->Feruchemist[2]/ Worldhopper, Bonded With<->Gereh's Aviar, Ethnicity<->Terris, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Haddek , Abilities<->Feruchemist (formerly)[1], Titles<->First Generation, Species<->Kandra, Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,
Handerwym , Abilities<->Connector, Profession<->Explorer, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,
Hanlanaze , Profession<->Professor/ mathematician, Residence<->New Seran, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,
Harathdal , Profession<->Steward, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,
Idashwy , Died<->Hemalurgy[1], Abilities<->Steelrunner, Residence<->Elendel, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,
Kelesina Shores's steward , Died<->342 PC[1], Abilities<->Brute, Profession<->Steward, Residence<->New Seran, Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,
Kwaan , Relatives<->Rashek[1], Died<->c 0 FE, Abilities<->Feruchemist, Groups<->Worldbringers, Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,
Kwashim , Residence<->Elendel, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,,
Lemex's nurse , Abilities<->Worldhopper, Profession<->Nurse, Ethnicity<->Terris, World<->Nalthis, Universe<->Cosmere, Featured In<->Warbreaker,,,,,,,,,,,,,,,,,
Miles Dagouter , Died<->342 PC[1], Abilities<->Augur & Bloodmaker twinborn/ Hemalurgist, Aliases<->Hundredlives, Religion<->Trellism, Groups<->Vanishers/ Set, Residence<->Elendel, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,
Rashek , Relatives<->Kwaan[1], Born<->Classical Scadrial[2], Died<->1022 FE, Abilities<->Feruchemist/ Mistborn/ Hemalurgist/ Sliver, Titles<->Lord Ruler/ Sliver of Infinity/ the Father/ First Emperor[3], Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Razal , Abilities<->Brute, Residence<->The Village, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,
Rindel , Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Sazed , Abilities<->Feruchemist/ Shard of Harmony, Titles<->Hero of Ages/ Master Vaht/[1] First Holy Witness/ Chief Ambassador of the New Empire/ Harmony, Profession<->Keeper/ Steward, Groups<->Kelsier's crew/ Venture army, Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn,,,,,,,,,,,,,,,
Shan Elariel's steward , Profession<->Steward, Residence<->Luthadel, Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,
Tathed , Residence<->Elendel, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,,
Tellingdwar , Residence<->Elendel, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,,,,
Telsin Ladrian , Siblings<->Waxillium Ladrian, Relatives<->Edwarn Ladrian/ Hinston, Ancestors<->Ashweather/ Allrianne's mother/ Breeze/ Allrianne/ Vwafendal, Abilities<->Hemalurgist, Aliases<->Sequence, Groups<->Set, Birthplace<->Elendel, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,
Tindwyl , Died<->c 1024 FE, Abilities<->Feruchemist, Aliases<->Mother of Terris, Profession<->Keeper, Groups<->Synod/ Kelsier's crew, Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,
Tinningdar , Related to<->Terris, Type<->Garment, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn (series),,,,,,,,,,,,,,,,,,
Vedlew , Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Vedzan , Nationality<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 1,,,,,,,,,,,,,,,,,,,
Vwafendal , Descendants<->Waxillium/ Telsin, Titles<->Elder, Profession<->Synod Elder, Residence<->The Village, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,
Waxillium Ladrian , Spouse<->Lessie (first marriage)/ Steris Harms (second marriage), Siblings<->Telsin, Relatives<->Edwarn/ Hinston, Ancestors<->Breeze/ Allrianne Cett/ Vwafendal, Born<->299 PC, Abilities<->Skimmer & Coinshot twinborn (Crasher), Aliases<->Dawnshot/ Asinthew, Profession<->Lawman/ High Lord, Residence<->Elendel, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,
Wayne , Born<->~310s PC[1], Abilities<->Bloodmaker & Slider twinborn, Aliases<->Maxil/[1] Abrigain[2], Residence<->Elendel, Ethnicity<->Terris, World<->Scadrial, Universe<->Cosmere, Featured In<->Mistborn Era 2,,,,,,,,,,,,,,,
Abry , Groups<->Amaram's army, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Acis , Died<->Ishi 1172[1], Profession<->Member of Kaladin's squad in Amaram's army, Groups<->Amaram's army/ Kaladin's squad, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Adolin Kholin , Spouse<->Shallan, Parents<->Dalinar/ Evi, Siblings<->Renarin, Relatives<->Gavilar/ Jasnah/ Elhokar/ Toh/ Gavinor, Ancestors<->Dalinar's father/ Sadees, Born<->1150[1], Abilities<->Shardbearer, Titles<->Prince of Kholin (former)/ Highprince of Alethkar, Groups<->Kholin army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,
Aesudan Kholin , Spouse<->Elhokar, Children<->Gavinor, Relatives<->Hesina/[1] Kaladin/ Tien/ Oroden, Bonded With<->Yelig-nar, Titles<->Queen of Alethkar, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,
Agil , Parents<->Marf, Profession<->Conscripted into Amaram's army, Groups<->Amaram's army, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Alabet , Died<->Ishi 1172[1], Profession<->Member of Kaladin's squad in Amaram's army, Groups<->Amaram's army/ Kaladin's squad, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Aladar , Children<->May, Ancestors<->Sadees[1], Abilities<->Shardbearer, Titles<->Highprince of Alethkar (princedom)/ Highprince of Information, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Alaward , Profession<->Soldier, Groups<->Kholinar Wall Guard, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Alds , Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Alili , Profession<->Master-servant, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Arafik , Children<->Habrin, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Aratin Khal , Parents<->General Khal/ Teshav, Siblings<->Halam/ Meleran, Relatives<->Idani (cousin), Profession<->Soldier, Residence<->Urithiru, Ethnicity<->Alethi, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,
Ashelem , Profession<->Archerlord in Kholin army, Groups<->Kholin army, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Avarak Matal , Spouse<->Hashal, Profession<->Army captain, Groups<->Sadeas army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Avaran , Profession<->Leatherworker, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Bashin , Profession<->Huntmaster/ Scoutmaster, Groups<->Kholin army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Beard , Died<->Battle of Kholinar 1174[1], Profession<->Guardsman, Groups<->Kholinar Wall Guard, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Beld , Died<->killed by Szeth[1], Profession<->King's Guard, Groups<->Bridge Four/ Kholin army/ King's Guard, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Bethab , Spouse<->Mishinah[1], Ancestors<->Sadees[2], Titles<->Highprince of Alethkar, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Bordin , Profession<->Footman[1], Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Brightlord Morakotha , Children<->Danlan, Titles<->Brightlord, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Caull , Parents<->Taleb, Profession<->Conscripted into Amaram's army, Groups<->Amaram's army, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Cenn , Born<->1157[1], Died<->Ishi 1172[2], Profession<->Chull farmer/ Spearman in Amaram's army, Groups<->Amaram's army/ Kaladin's squad, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Chanada , Profession<->Ardent, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Colot , Abilities<->Windrunner[1], Profession<->Army Captain/ archer, Groups<->Knights Radiant (Windrunner)/ Bridge Four/ Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Dabbid , Aliases<->Moolie, Groups<->Bridge Four/ Sadeas army (formerly)/ Kholin army, Residence<->Urithiru, Ethnicity<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Dalar , Titles<->Sergeant of the reserves, Profession<->Military officer, Groups<->Amaram's army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Dalinar Kholin , Spouse<->Evi (deceased)/ Navani, Children<->Adolin/ Renarin, Parents<->Dalinar's father, Siblings<->Gavilar, Relatives<->Jasnah/ Elhokar/ Gavinor, Ancestors<->Sadees, Born<->ca. 1120[1], Abilities<->Bondsmith/ Old Magic/ Shardbearer (formerly), Bonded With<->the Stormfather, Titles<->Highprince of Alethkar (formerly)/ Highprince of War (formerly)/,,,,,,,,,,,,,
King of Urithiru[2][3], Aliases<->The Blackthorn, Groups<->Knights Radiant (Bondsmiths)/ Kholin army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Dalinar's father , Children<->Dalinar/ Gavilar, Ancestors<->Sadees, Descendants<->Elhokar/ Jasnah/ Adolin/ Renarin/ Gavinor, Died<->Unknown[1], Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Dallet , Died<->Ishi 1172/ killed by Helaran[1], Profession<->Spearman in Amaram's army, Groups<->Amaram's army/ Kaladin's squad, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Danlan Morakotha , Parents<->Brightlord Morakotha, Titles<->Brightness, Profession<->Clerk & Scribe, Groups<->Diagram, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Deedanor , Died<->Siege of Kholinar[1], Titles<->Captain, Groups<->Kholinar Wall Guard, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Dod , Profession<->Palace guard, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Dok , Profession<->Sailor, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Dru , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Dunny , Died<->c 1173[1], Profession<->Bridgeman, Groups<->Bridge Four/ Sadeas army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Elhokar Kholin , Spouse<->Aesudan, Children<->Gavinor, Parents<->Gavilar/ Navani, Siblings<->Jasnah, Relatives<->Dalinar/ Adolin/ Renarin, Ancestors<->Dalinar's father/ Sadees, Born<->1147[1][2], Died<->Siege of Kholinar 1174[3]/ killed by Moash, Abilities<->Shardbearer/ Lightweaver, Bonded With<->Design, Titles<->King of Alethkar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,
Elit Ruthar , Relatives<->Ruthar (uncle)/ Jayla (aunt)/ Relis (cousin), Abilities<->Shardbearer (formerly), Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Elthebar , Profession<->Stormwarden, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Eshava , Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Falilar , Relatives<->Tomor[1] (nephew), Skills<->Artifabrian, Profession<->Ardent, Religion<->Vorinism, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,
Febin , Profession<->Soldier, Groups<->Dalinar's elites, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Fin , Profession<->Groom, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Galan , Profession<->Soldier in Amaram's army, Groups<->Amaram's army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Gallam , Abilities<->Shardbearer (formerly), Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Gavilar Kholin , Spouse<->Navani, Children<->Elhokar/ Jasnah, Parents<->Dalinar's father, Siblings<->Dalinar, Relatives<->Adolin/ Renarin, Ancestors<->Sadees, Descendants<->Gavinor, Died<->Tanat 1167[1][2][3]/ killed by Szeth, Abilities<->Shardbearer, Titles<->King of Alethkar/ Gavilar the Majestic[4], Groups<->Sons of Honor, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,
General Khal , Spouse<->Teshav, Children<->Halam/ Aratin/ Meleran, Relatives<->Idani, Abilities<->Shardbearer, Profession<->General in Kholin army, Groups<->Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,
Graves , Died<->Jes 1174[1], Abilities<->Shardbearer, Groups<->Diagram, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Grund , Died<->Killed by the Grips/ Nanaches 1174[1], Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Gulastis , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Habrin , Parents<->Arafik, Profession<->Conscripted into Amaram's army, Groups<->Amaram's army, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Halad , Titles<->Highmarshal of Alethkar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Halam Khal , Parents<->General Khal/ Teshav, Siblings<->Aratin/ Meleran, Relatives<->Idani (cousin), Abilities<->Shardbearer, Profession<->Captain in Kholin army, Groups<->Kholin army, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,
Hallaw , Profession<->Military commander, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Hamadin , Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,,
Hamaradin , Died<->c. 1174 (Ghostbloods)[1], Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Harl , Children<->Miasal, Groups<->Amaram's army, Residence<->Hearthstone, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,
Harth , Profession<->Sword trainer, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,,
Hashal , Spouse<->Avarak Matal, Groups<->Sadeas army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Hatham , Relatives<->Rine Hatham, Ancestors<->Sadees[1], Titles<->Highprince of Alethkar/ Highprince of Works, Residence<->Urithiru, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Hathan , Profession<->Master-servant, Residence<->Kholinar, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Hav , Profession<->Amaram's army (personal guard), Groups<->Amaram's army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Havar , Died<->Battle of the Tower,,,,,,,,,,,,,,,,,,,,,,
Tanatashev 1173[1], Profession<->Brightlord in Kholin army, Groups<->Kholin army, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,,,
Havarah , Profession<->Bridgelord in Kholin army, Groups<->Kholin army, Residence<->The Alethi warcamps, Ethnicity<->Herdazian, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
Havrom , Titles<->Battalionlord, Profession<->Soldier, Groups<->Kholin army, Residence<->The Alethi warcamps, Nationality<->Alethi, World<->Roshar, Universe<->Cosmere, Featured In<->The Stormlight Archive,,,,,,,,,,,,,,,
